🕘️更新时间,#genre#
2025-10-26 06:25:58,http://117.12.150.62:4022/rtp/225.1.1.120:5002$订阅源

📺央视频道,#genre#
CCTV-1,http://117.12.150.62:4022/rtp/225.1.1.120:5002$订阅源
CCTV-1,http://183.220.107.138:4022/rtp/239.11.0.65:5140$订阅源
CCTV-1,http://113.106.171.234:8899/rtp/239.20.0.96:3016$订阅源
CCTV-1,http://113.106.171.234:8899/rtp/239.20.0.104:2006$订阅源
CCTV-1,http://223.167.245.20:8001/rtp/239.45.3.145:5140$订阅源
CCTV-1,http://117.174.25.254:8188/rtp/239.0.0.10:5140$订阅源
CCTV-1,http://115.58.141.236:4000/rtp/225.1.4.73:1102$订阅源
CCTV-1,http://122.189.103.197:8888/rtp/228.0.0.1:6108$订阅源
CCTV-1,http://223.198.241.206:4000/rtp/239.253.64.120:5140$订阅源
CCTV-2,http://117.12.150.62:4022/rtp/225.1.1.133:5002$订阅源
CCTV-2,http://183.220.107.138:4022/rtp/239.11.0.108:5140$订阅源
CCTV-2,http://113.106.171.234:8899/rtp/239.20.0.197:2192$订阅源
CCTV-2,http://117.174.25.254:8188/rtp/239.0.0.11:5140$订阅源
CCTV-2,http://223.198.241.206:4000/rtp/239.253.64.195:5140$订阅源
CCTV-2,http://122.189.103.197:8888/rtp/228.0.0.2:6108$订阅源
CCTV-2,http://112.109.206.113:9999/rtp/239.255.40.36:8208$订阅源
CCTV-2,http://115.58.141.236:4000/rtp/225.1.4.74:1103$订阅源
CCTV-2,http://111.226.232.107:10010/rtp/239.254.200.158:6000$订阅源
CCTV-3,http://117.12.150.62:4022/rtp/225.1.1.158:5002$订阅源
CCTV-3,http://183.220.107.138:4022/rtp/239.11.0.101:5140$订阅源
CCTV-3,http://113.106.171.234:8899/rtp/239.20.0.28:3292$订阅源
CCTV-3,http://117.174.25.254:8188/rtp/239.0.0.12:5140$订阅源
CCTV-3,http://122.189.103.197:8888/rtp/228.0.0.156:7156$订阅源
CCTV-3,http://106.116.242.179:9999/rtp/239.254.201.152:7205$订阅源
CCTV-3,http://223.198.241.206:4000/rtp/239.253.64.244:5140$订阅源
CCTV-3,http://115.58.141.236:4000/rtp/225.1.4.158:1194$订阅源
CCTV-3,http://111.226.232.107:10010/rtp/239.254.201.152:7205$订阅源
CCTV-4,http://117.12.150.62:4022/rtp/225.1.1.150:5002$订阅源
CCTV-4,http://223.167.245.20:8001/rtp/239.45.0.2:5140$订阅源
CCTV-4,http://115.58.141.236:4000/rtp/225.1.5.31:1342$订阅源
CCTV-4,http://113.106.171.234:8899/rtp/239.20.0.16:3340$订阅源
CCTV-4,http://183.220.107.138:4022/rtp/239.11.0.109:5140$订阅源
CCTV-4,http://117.174.25.254:8188/rtp/239.0.0.13:5140$订阅源
CCTV-4,http://122.189.103.197:8888/rtp/228.0.0.143:7143$订阅源
CCTV-4,http://111.226.232.107:10010/rtp/239.254.200.190:6307$订阅源
CCTV-4,http://111.226.232.107:10010/rtp/239.254.201.206:4220$订阅源
CCTV-5,http://223.167.245.20:8001/rtp/239.45.1.69:5140$订阅源
CCTV-5,http://183.220.107.138:4022/rtp/239.11.0.241:5140$订阅源
CCTV-5,http://113.106.171.234:8899/rtp/239.20.0.30:3284$订阅源
CCTV-5,http://183.220.107.138:4022/rtp/239.11.0.100:5140$订阅源
CCTV-5,http://113.106.171.234:8899/rtp/239.20.0.203:2204$订阅源
CCTV-5,http://117.174.25.254:8188/rtp/239.0.0.14:5140$订阅源
CCTV-5,http://115.58.141.236:4000/rtp/225.1.4.159:1195$订阅源
CCTV-5,http://117.174.25.254:8188/rtp/239.0.0.22:5140$订阅源
CCTV-5,http://122.189.103.197:8888/rtp/228.0.0.112:6108$订阅源
CCTV-5+,http://115.58.141.236:4000/rtp/225.1.4.75:1104$订阅源
CCTV-5+,http://117.12.150.62:4022/rtp/225.1.1.121:5002$订阅源
CCTV-5+,http://223.198.241.206:4000/rtp/239.253.64.100:5140$订阅源
CCTV-5+,http://111.226.232.107:10010/rtp/239.254.200.46:8004$订阅源
CCTV-5+,http://106.116.242.179:9999/rtp/239.254.200.46:8004$订阅源
CCTV-5+,http://27.184.64.48:58888/rtp/239.254.200.46:8004$订阅源
