更新时间,#genre#
2024-11-16 18:40:36,url
📺央视频道,#genre#
CCTV-1,http://60.164.128.167:8029/udp/239.255.30.101:8231$订阅源|1920x1080
CCTV-1,http://110.177.146.152:888/udp/239.1.1.7:8007$订阅源|1920x1080
CCTV-1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$订阅源|1920x1080
CCTV-1,http://1.183.55.19:9003//hls/1/index.m3u8$订阅源|1920x1080
CCTV-1,http://27.41.246.172:9003//hls/4/index.m3u8$订阅源|1920x1080
CCTV-1,http://27.41.245.129:9003//hls/4/index.m3u8$订阅源|1920x1080
CCTV-1,http://182.92.109.190:1668/migu720/migu720.php?id=cctv1$订阅源|1280x720
CCTV-1,http://dd.ddzb.fun/php/migu.php?id=cctv1$订阅源|1280x720
CCTV-1,http://home.yulei.online:9999/rtp/226.0.2.153:9136$组播源|1920x1080
CCTV-1,http://110.177.146.152:888/rtp/239.1.1.7:8007$山西电信组播源|1920x1080
CCTV-1,http://114.243.100.237:8822/rtp/239.3.1.129:8008$组播源|1920x1080
CCTV-1,http://222.95.182.110:4022/rtp/239.49.8.129:6000$组播源|1920x1080
CCTV-1,http://www.lebaobei.top:6868/rtp/239.255.30.101:8231$甘肃电信组播源
CCTV-1,http://139.196.151.191:2051/rtp/239.45.3.145:5140$上海电信组播源
CCTV-1,http://122.9.151.210:887/rtp/238.255.2.91:5999$贵州电信组播源
CCTV-1,http://123.56.129.203:4310/rtp/225.1.8.1:8008$北京电信组播源
CCTV-2,https://livednow.com/migu/631780532?sign=gAAAAABmxHgUnAvEb33tHD9hTm-x8LUM8wdp7UNp8vG_QGzfBRymJcJ-qRZkuO8iC9C4jvmjR4JkCfpD2ahIj6YDLYc7I9zvSFX3TfVl-AEPw3Cr4tW6jEgf_21OyqfRJVr9Ur7eHN66lC0Vkm577g_N_DMJA7tvJB1VXzu8XvvBj9PfMX661WuanhS0hudEg28SveMbwkSCb9figgsldzEbo7jwMQVZ4A%3D%3D$订阅源|1920x1080
CCTV-2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/1.m3u8?channelid=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3$订阅源
CCTV-2,http://123.166.61.70:8003/hls/12/index.m3u8$订阅源
CCTV-2,http://112.123.206.32:808/hls/2/index.m3u8$订阅源
CCTV-2,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-2,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=no$订阅源
CCTV-2,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000023315$订阅源
CCTV-2,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://www.lebaobei.top:6868/rtp/239.255.30.179:8231$甘肃电信组播源
CCTV-2,http://139.196.151.191:2051/rtp/239.45.1.109:5140$上海电信组播源
CCTV-2,http://122.9.151.210:887/rtp/238.255.2.11:5999$贵州电信组播源
CCTV-2,http://123.56.129.203:4310/rtp/225.1.8.2:8084$北京电信组播源
CCTV-2,http://123.56.129.203:4310/rtp/225.1.8.102:8004$北京电信组播源
CCTV-2,http://139.196.151.191:6846/rtp/239.45.1.109:5140$组播源
CCTV-2,http://120.55.49.231:3095/rtp/233.50.201.119:5140$组播源
CCTV-2,http://123.56.129.203:2604/rtp/225.1.8.2:8084$组播源
CCTV-3,http://125.123.215.188:4022/udp/233.50.200.107:5140$订阅源|1920x1080
CCTV-3,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265003$订阅源
CCTV-3,http://202.100.46.58:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://60.12.183.46:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-3,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3$订阅源
CCTV-3,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv3$订阅源
CCTV-3,http://123.182.60.29:9002/hls/3/index.m3u8$订阅源
CCTV-3,http://111.9.163.109:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://www.lebaobei.top:6868/rtp/239.255.29.12:8231$甘肃电信组播源
CCTV-3,http://139.196.151.191:2051/rtp/239.45.1.68:5140$上海电信组播源
CCTV-3,http://122.9.151.210:887/rtp/238.255.2.133:5999$贵州电信组播源
CCTV-3,http://123.56.129.203:4310/rtp/225.1.8.88:8000$北京电信组播源
CCTV-3,http://123.56.129.203:4310/rtp/225.1.8.92:8000$北京电信组播源
CCTV-3,http://123.56.129.203:2604/rtp/225.1.8.92:8000$组播源
CCTV-3,http://139.196.151.191:6846/rtp/239.45.1.68:5140$组播源
CCTV-3,http://123.56.129.203:2604/rtp/225.1.8.88:8000$组播源
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$订阅源|1920x1080
CCTV-4,http://39.98.201.151:9090/udp/225.1.8.4:8092$订阅源
CCTV-4,http://101.43.66.162/migunew.php?id=cctv4o$订阅源
CCTV-4,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv4$订阅源
CCTV-4,http://60.12.183.46:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-4,http://202.100.46.58:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000011000031102/1.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=3$订阅源
CCTV-4,http://123.182.60.29:9002/hls/4/index.m3u8$订阅源
